target,cube ID,X,Y,Z,border_label,sintering_duration_sum,sintering_duration_sum,senor1_mean,senor2_mean,senor3_mean,sensor1_var,sensor2_var,sensor3_var,sensor1_skew,sensor2_skew,sensor3_skew,mean_scanspeed,mean_hacthspacing,mean_energydensity,var_scanspeed,var_hatchspacing,var_energydensity
1,4,0.6243166,9.8417226,5.0243372,0,90,18,673.2,499.2,244.6,205.7,6273.2,742.8,-0.4076492643,0.3787995498,0.2675688592,2.05919499,5.00E-05,145415707185,0.71526999,0,2.13E+21
0,33,7.875,5.125,4.375,0,100,20,689.2,510,238.6,157.7,838,55.3,-0.3877826174,-0.7781517922,-1.121642426,1.328002251,5.00E-05,215528523620,0.1080125274,0,1.65E+21
0,25,2.125,5.375,1.375,0,100,20,688.4,481.6,216.6,298.3,590.8,91.8,-0.4044025129,0.4446409717,-0.2399390601,1.735925581,5.00E-05,192552055746,0.5613279705,0,1.15E+22
1,2,0.2991966,9.3804078,0.146191,0,100,20,713.2,446.4,233.4,462.7,782.8,70.3,-1.444527411,0.02014150117,0.1423739647,2.123480046,5.00E-05,152214738310,0.4260406158,0,5.45E+21
0,43,4.625,8.125,6.375,0,100,20,712.6,514.8,249.4,119.3,381.2,13.8,-0.3292714275,0.3876378409,-1.235263536,1.761184218,5.00E-05,211123670698,1.232162689,0,1.08E+22
1,3,0.2386624,9.4850618,4.5556564,0,100,20,692.4,434.4,221.2,94.8,498.3,113.2,0.4023368694,-0.4737681627,-0.2633383345,1.695054253,5.00E-05,172278358889,0.2053638498,0,1.76E+21
0,35,3.375,3.375,1.125,0,100,20,725.8,515,240.8,66.2,3918,867.7,-0.3788597623,-0.5480847599,-0.3207230509,1.837288716,5.00E-05,174342476698,0.3429627175,0,4.46E+21
0,45,4.125,5.125,0.875,0,100,20,709.4,523.4,232,11.3,1509.8,134,0.2754946631,1.401542755,1.254142996,1.7934215,5.00E-05,172955712988,0.276424156,0,4.21E+21
0,32,1.625,9.875,6.125,1,110,22,565.4,395.4,207,35871.8,10962.8,2322.5,-0.9626777037,-1.046585514,-1.302214214,1.830661964,5.60E-05,156302696950,1.81258208,1.80E-10,6.49E+21
0,1,6.625,8.125,6.875,0,100,20,718.6,521.2,252,139.8,2292.2,630.5,-0.8192109878,1.21209125,0.7944743724,1.127293985,5.00E-05,284736955445,0.224010339,0,8.31E+21
1,3,2.9174734,5.1132646,6.958344,0,100,20,700.2,602.6,281.2,5.2,200.8,93.2,1.001323728,-0.8166784855,-0.7849251861,1.585589457,5.00E-05,178324731232,0.02925759208,0,3.83E+20
0,28,2.375,2.375,0.375,0,100,20,676.8,454,222.6,9.2,3152,570.8,1.173125129,1.319868805,1.254399345,1.278197096,5.00E-05,237888724234,0.2390152283,0,7.60E+21
0,38,2.625,8.125,6.125,0,100,20,693.8,530.6,257,290.2,8485.8,1153,1.43357832,0.3775965666,0.1814505363,1.93494021,5.00E-05,156967887540,0.2887579818,0,3.82E+21
1,3,2.1035304,0.1697388,6.878207,1,120,24,537.4,363.8,175.2,69514.8,22566.2,4846.7,-0.3226671289,-0.08445629558,0.1595519488,2.520193817,5.60E-05,97501495567,0.9201539087,1.80E-10,5.33E+21
0,5,1.375,3.125,0.625,0,100,20,737.6,541,244.4,118.8,930.5,114.8,-0.3448219545,1.050045224,0.9454581788,1.391255455,5.00E-05,217520985016,0.04926032448,0,1.85E+21
1,19,3.4496221,2.473081,6.8669548,0,100,20,673.2,574.4,278,9.2,2027.3,241.5,0.7500308204,-0.3252410167,-0.5009290009,1.091100717,5.00E-05,271820713557,0.1524990313,0,8.17E+21
1,18,9.7968408,0.6129688,6.6334018,0,100,20,679.6,554.2,252.8,178.8,1788.2,86.7,-0.4056048363,-0.1818399789,0.3500814264,1.506124861,5.00E-05,187983880812,0.1019848786,0,1.97E+21
1,13,0.339354,9.7177706,1.1632324,0,100,20,712,464.8,229.8,257,1505.2,331.7,0.4135616777,-0.4996389357,-0.5114825723,1.498087785,5.00E-05,191721481279,0.02279123741,0,4.12E+20
1,19,5.0899541,4.243207,6.8520704,0,100,20,716.4,541.2,249.2,19.3,577.7,108.7,-1.110803914,-1.371802278,0.08683444935,1.676974555,5.00E-05,195337911701,0.6565704275,0,4.45E+21
0,27,0.125,0.625,5.125,1,100,20,809.4,565.4,266,56.8,1276.8,86.5,-0.161249779,-0.6769936819,-0.2501516377,2.1,0.0001,84144888889,0.425,0,8.77E+20
0,39,3.875,1.875,5.625,0,100,20,727.6,488.6,241.6,405.3,4886.8,1568.8,-0.00761293879,1.038759831,0.8435234634,1.460424052,5.00E-05,214101298902,0.1620769843,0,4.84E+21
0,1,4.375,1.125,3.875,0,100,20,695.6,500.4,243.6,20.3,7530.8,608.3,0.4026563426,0.08152357532,-0.02477522928,1.473098299,5.00E-05,194132962490,0.06872675337,0,1.40E+21
0,28,5.875,7.125,0.875,0,100,20,712.6,461.8,234.8,52.8,1126.2,339.7,0.06102120789,-0.5251896947,0.8230494565,1.758928764,5.00E-05,174096969104,0.1952120019,0,3.68E+21
0,42,9.875,1.375,3.125,1,100,20,286.6,231.4,132.4,51377.8,51818.3,11484.3,1.498635738,1.488826791,1.49597694,1.890512484,7.40E-05,53770008060,0.8918281858,1.80E-10,2.63E+21
0,2,4.375,1.125,4.875,0,100,20,691.6,543.2,262.8,146.8,390.7,96.7,-0.1167664631,0.6175788518,0.7451673634,1.553688756,5.00E-05,200554117198,0.4981890604,0,4.12E+21
0,23,3.125,6.625,2.625,0,100,20,698.8,573,261.4,4.7,7970,728.8,-0.04608477909,-0.3004108823,-0.2779409608,1.393507555,5.00E-05,225124857105,0.2132958672,0,8.88E+21
0,14,2.625,9.375,2.875,0,100,20,729.8,447,227,526.2,363,90.5,-0.4731772314,-0.562082106,0.07012548816,1.585335919,5.00E-05,368412256449,0.7802625294,0,2.15E+23
1,5,0.9165182,5.0428244,6.9148084,0,100,20,675,568,261.2,48.5,1362,225.2,0.4468648215,0.4286631314,-0.04462209788,1.634928911,5.00E-05,175807331510,0.2056343184,0,2.39E+21
0,1,5.625,4.375,2.875,0,100,20,700,527.6,258.8,2,798.3,94.7,0,-0.7884098589,-0.4081425227,1.403289906,5.00E-05,205001929364,0.06972180063,0,1.34E+21
